,playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,AVG,OBP,SLG,OPS
521,murtoma01,2006,144,455,70,135,22,3,13,62.0,45,62.0,1.0,0.297,0.359,0.444,0.803
522,napolmi01,2006,99,268,47,61,13,0,16,42.0,51,90.0,0.0,0.228,0.35,0.455,0.805
523,nixontr01,2006,114,381,59,102,24,0,8,52.0,60,56.0,1.0,0.268,0.363,0.394,0.757
524,nortogr01,2006,98,294,47,87,15,0,17,45.0,35,69.0,2.0,0.296,0.369,0.52,0.889
525,nunezab01,2006,123,322,42,68,10,2,2,32.0,41,58.0,8.0,0.211,0.299,0.273,0.572
526,olivomi01,2006,127,430,52,113,22,3,16,58.0,9,103.0,4.0,0.263,0.276,0.44,0.716
527,ordonma01,2006,155,593,82,177,32,1,24,104.0,45,87.0,3.0,0.298,0.346,0.477,0.823
528,orrpe01,2006,102,154,22,39,3,4,1,8.0,5,30.0,1.0,0.253,0.277,0.344,0.621
529,ortizda01,2006,151,558,115,160,29,2,54,137.0,119,117.0,23.0,0.287,0.409,0.636,1.045
530,overbly01,2006,157,581,82,181,46,1,22,92.0,55,96.0,7.0,0.312,0.37,0.508,0.878
531,palmeor01,2006,103,119,12,30,6,1,0,17.0,6,17.0,0.0,0.252,0.288,0.319,0.607
532,patteco01,2006,135,463,75,128,19,5,16,53.0,21,94.0,5.0,0.276,0.307,0.443,0.75
533,pauliro01,2006,129,442,37,137,19,0,6,55.0,34,79.0,5.0,0.31,0.358,0.394,0.752
534,paytoja01,2006,142,557,78,165,32,3,10,59.0,22,52.0,1.0,0.296,0.32,0.418,0.738
535,penawi01,2006,84,276,36,83,15,2,11,42.0,20,90.0,0.0,0.301,0.342,0.489,0.831
536,peraljh01,2006,149,569,84,146,28,3,13,68.0,56,152.0,0.0,0.257,0.322,0.385,0.707
537,perezne01,2006,87,236,27,60,13,1,2,24.0,5,21.0,2.0,0.254,0.266,0.343,0.609
538,perezto03,2006,99,241,31,51,12,0,2,16.0,5,44.0,0.0,0.212,0.224,0.286,0.51
539,phillan01,2006,110,246,30,59,11,3,7,29.0,15,56.0,0.0,0.24,0.281,0.394,0.675
540,phillbr01,2006,149,536,65,148,28,1,17,75.0,35,88.0,3.0,0.276,0.317,0.427,0.744
